FPN,AVE_DailyResidents,AVE_DailyNursingStaff,lat,long,provider_name,provider_address,provider_city,provider_state,provider_zip_code,provider_phone_number,provider_ssa_county_code,provider_county_name,ownership_type,number_of_certified_beds,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,rn_staffing_rating,rn_staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_t_5932,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_number_of_complaint_health_deficiencies,rating_cycle_2_health_deficiency_score,rating_cycle_2_number_of_health_revisits,rating_cycle_2_health_revisit_score,rating_cycle_2_total_health_score,rating_cycle_3_standard_health_survey_date,rating_cycle_3_total_number_of_health_deficiencies,rating_cycle_3_number_of_standard_health_deficiencies,rating_cycle_3_number_of_complaint_health_deficiencies,rating_cycle_3_health_deficiency_score,rating_cycle_3_number_of_health_revisits,rating_cycle_3_health_revisit_score,rating_cycle_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,processing_date
495002,86,37,37.233942,-79.9729052,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,5403444325,801,Roanoke City,For profit - Corporation,98,Medicare and Medicaid,N,SOUTH ROANOKE LIFE CARE LLC,01/01/67,N,NA,N,Y,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,5,NA,3,NA,4,NA,NA,NA,2.06929,0.63162,0.71924,1.35086,3.42015,2.99218,0.56381,0.05692,44,NA,28.6,NA,1,NA,2.06401,0.72718,0.3603,3.15148,2.04812,0.63788,0.75131,3.42249,07/09/19,14,14,0,84,1,0,84,03/15/18,9,8,0,56,1,0,56,01/20/17,10,10,0,44,1,0,44,68,0,0,1,0,0,0,0,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",05/01/22
495011,87,38,38.7349122,-77.0590098,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,7037656107,290,Fairfax,Non profit - Other,96,Medicare and Medicaid,N,MANOR CARE OF ALEXANDRIA VA LLC,01/01/67,N,NA,N,N,N,None,Yes,4,NA,3,NA,4,NA,3,NA,5,NA,4,NA,4,NA,NA,NA,2.0781,0.85151,0.71103,1.56253,3.64064,3.26239,0.38008,0.1117,18.5,NA,20,NA,1,NA,2.03758,0.6879,0.3149,3.04038,2.08352,0.90904,0.84979,3.77625,01/20/22,11,11,0,48,1,0,48,10/10/19,12,12,0,60,1,0,60,08/30/18,10,10,0,52,1,0,52,52.667,0,1,0,0,0,0,0,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",05/01/22
495013,207,108,37.2801597,-80.1264926,RICHFIELD: HEALTH CENTER - SALEM,3719 KNOLLRIDGE ROAD,SALEM,VA,24153,5403804500,838,Salem City,Non profit - Corporation,280,Medicare and Medicaid,N,RICHFIELD LIVING,01/01/67,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,2,NA,1,NA,3,NA,3,NA,2,NA,NA,NA,2.60908,1.55987,0.48665,2.04652,4.6556,3.92559,0.28057,0.07163,69.7,NA,65.5,NA,1,NA,2.07713,0.73289,0.38197,3.19199,2.56607,1.56305,0.47951,4.59966,07/29/21,10,10,0,44,1,0,44,11/09/18,17,13,2,92,1,0,92,08/02/17,15,15,0,72,1,0,72,64.667,0,3,2,0,0,0,0,"3719 KNOLLRIDGE ROAD,SALEM,VA,24153",05/01/22
495015,268,147,36.6209283,-79.3827201,ROMAN EAGLE REHABILITATION AND HEALTH CARE CENTER,2526 NORTH MAIN STREET,DANVILLE,VA,24540,4348369510,241,Danville City,Non profit - Corporation,312,Medicare and Medicaid,N,ROMAN EAGLE REHABILITATION AND HEALTH CARE CENTER INC,01/01/67,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,3,NA,3,NA,3,NA,4,NA,4,NA,NA,NA,2.42405,0.93607,0.90666,1.84274,4.26679,3.73723,0.56052,0.05753,24.9,NA,17.1,NA,NA,6,2.25597,0.73578,0.33168,3.32343,2.1951,0.9343,1.0288,4.0488,12/02/21,4,4,0,16,1,0,16,11/02/18,20,19,0,112,1,0,112,07/20/17,6,6,0,24,1,0,24,49.333,0,0,1,0,0,1,1,"2526 NORTH MAIN STREET,DANVILLE,VA,24540",05/01/22
495019,260,139,38.8162249,-77.0719611,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,7038368838,11,Alexandria City,For profit - Limited Liability company,307,Medicare and Medicaid,N,WOODBINE OPERATOR LLC,01/01/67,N,NA,N,N,N,Both,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,2,NA,2,NA,NA,NA,1.92155,1.28671,0.812,2.09871,4.02026,3.41622,0.51863,0.06818,38.8,NA,50.7,NA,0,NA,2.32921,0.86325,0.65079,3.84325,1.68534,1.09463,0.46959,3.29889,04/23/21,1,1,0,4,1,0,4,11/21/19,1,1,0,4,1,0,4,09/27/18,11,11,0,52,1,0,52,12,0,0,0,0,0,0,0,"2729 KING ST,ALEXANDRIA,VA,22302",05/01/22
495034,45,28,37.7808777,-79.459841,KENDAL  AT LEXINGTON,160 KENDAL DRIVE,LEXINGTON,VA,24450,5404631910,522,Lexington City,Non profit - Corporation,60,Medicare and Medicaid,N,"LEXINGTON RETIREMENT COMMUNITY, INC",01/01/67,Y,NA,N,N,N,Resident,Yes,5,NA,5,NA,4,NA,3,NA,5,NA,4,NA,4,NA,NA,NA,2.58499,1.25589,0.64905,1.90494,4.48993,3.80052,0.34064,0.02741,63.6,NA,63.6,NA,1,NA,1.95829,0.6478,0.28426,2.89035,2.69667,1.42374,0.85935,4.89893,11/17/21,4,4,0,16,1,0,16,04/04/19,4,4,0,20,1,0,20,03/07/18,3,3,0,32,1,0,32,20,0,0,0,4,4550,0,4,"160 KENDAL DRIVE,LEXINGTON,VA,24450",05/01/22
495038,113,57,38.7714104,-77.5005331,MANASSAS HEALTH AND REHAB CENTER,8575 RIXLEW LANE,MANASSAS,VA,20109,7032579770,563,Manassas City,For profit - Partnership,120,Medicare and Medicaid,N,MANASSAS HEALTH CARE LLC,03/01/79,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,5,NA,3,NA,3,NA,NA,NA,1.97986,1.18915,0.71271,1.90185,3.88171,3.51537,0.51757,0.05114,32.3,NA,35,NA,8,NA,2.16749,0.78391,0.40893,3.36034,1.86604,1.11402,0.65594,3.64294,03/05/21,7,7,0,44,1,0,44,06/20/19,13,11,0,60,1,0,60,05/10/18,18,18,0,80,1,0,80,55.333,0,1,2,2,19500,0,2,"8575 RIXLEW LANE,MANASSAS,VA,20109",05/01/22
495045,157,67,37.6154708,-77.4722138,PROMEDICA SKILLED NURSING AND REHAB (RICHMOND),2125 HILLIARD ROAD,RICHMOND,VA,23228,8042669666,430,Henrico,Non profit - Corporation,194,Medicare and Medicaid,N,MANOR CARE-STRATFORD HALL OF RICHMOND VA LLC,05/15/67,N,NA,N,Y,N,Resident,Yes,1,NA,1,NA,4,NA,2,NA,5,NA,2,NA,2,NA,NA,NA,1.82911,0.83267,0.34748,1.18015,3.00926,2.74212,0.26019,0.09233,42.9,NA,35.3,NA,0,NA,1.95464,0.74701,0.37061,3.07226,1.91169,0.81859,0.35288,3.08897,05/02/19,24,24,3,124,1,0,124,04/13/18,29,26,0,172,1,0,172,02/15/17,18,17,1,96,1,0,96,135.333,0,4,3,1,3250,0,1,"2125 HILLIARD ROAD,RICHMOND,VA,23228",05/01/22
495046,97,49,37.3514019,-79.5175735,OAKWOOD HEALTH AND REHAB CENTER,1613 OAKWOOD STREET,BEDFORD,VA,24523,5405873439,88,Bedford,Government - City,111,Medicare and Medicaid,Y,BEDFORD SNF OPERATIONS LLC,05/01/67,N,NA,N,Y,N,Resident,Yes,4,NA,3,NA,3,NA,2,NA,4,NA,4,NA,4,NA,NA,NA,2.19652,1.03311,0.6565,1.6896,3.88612,3.17805,0.32637,0,NA,6,NA,6,NA,6,1.89823,0.67326,0.2982,2.86969,2.36391,1.12691,0.82857,4.27065,02/06/20,3,3,0,16,1,0,16,11/15/18,13,13,0,68,2,34,102,07/13/17,2,2,0,12,1,0,12,44,0,0,0,1,657.8,0,1,"1613 OAKWOOD STREET,BEDFORD,VA,24523",05/01/22
495057,75,47,38.8372538,-77.1043783,GOODWIN HOUSE ALEXANDRIA,4800 FILLMORE AVE,ALEXANDRIA,VA,22311,7038241192,11,Alexandria City,Non profit - Corporation,80,Medicare and Medicaid,N,GOODWIN HOUSE INCORPORATED,07/03/68,Y,NA,N,N,N,Both,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,3.07305,0.63576,1.12525,1.761,4.83405,4.64193,0.97414,0.14055,24.8,NA,29.4,NA,NA,6,2.13638,0.67371,0.31446,3.12454,2.93858,0.69301,1.34676,4.87907,10/14/21,1,1,0,8,1,0,8,01/31/19,9,9,0,40,1,0,40,01/26/18,9,9,0,36,1,0,36,23.333,0,0,0,2,1625,0,2,"4800 FILLMORE AVE,ALEXANDRIA,VA,22311",05/01/22
