X,Y,FID,OBJECTID,ID,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,COUNTY,FIPS,NAICSCODE,NAICSDESCR,LONGITUDE,LATITUDE,GEOPREC,PHONELOC,STATE_ID,FDID,LEVEL_,SPECIALTY,EMSLICENSE,FRST,PERM_ID,GNIS_ID,EMERGTEL,TELEPHONE,EMERPHONE,DIRECTIONS,EMERGTITLE,NAME,OWNER,GlobalID
-9303860.928,4384788.414,22982,22171,10504978,NEIGHBORHOOD LANE,NOT AVAILABLE,EWING,VA,24248,N/A,LEE,51105,922160,AMBULANCE AND FIRE SERVICE COMBINED,-83.5780047,36.6093083,ONENTITY,NO,NOT AVAILABLE,10508,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 346-7777,NOT AVAILABLE,ON THE NW CORNER OF US-58 AND NEIGHBORHOOD LANE,NOT AVAILABLE,THOMAS WALKER VOLUNTEER FIRE DEPARTMENT STATION 2,NOT AVAILABLE,e1d89a84-2f43-40d3-a893-36dc4b2faf55
-9164214.161,4436326.422,24416,24410,10524642,22 WATER LANE,NOT AVAILABLE,NORA,VA,24272,N/A,DICKENSON,51051,621910,"RESCUE SERVICES, MEDICAL",-82.3235365,36.9800503,ONENTITY,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NO,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 762-5844,NOT AVAILABLE,WEST END OF WATER LANE ON THE NORTH SIDE.,NOT AVAILABLE,DANTE RESCUE SQUAD INCORPORATED STATION 2,NOT AVAILABLE,ec9beca0-3783-4928-bd21-932a3dedeaa8
-9047161.086,4424368.882,24420,24414,10510198,218 EAST RAILROAD AVENUE,NOT AVAILABLE,RURAL RETREAT,VA,24368,N/A,WYTHE,51197,621910,"AMBULANCE SERVICES, AIR OR GROUND",-81.2720308,36.8941929,ONENTITY,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NO,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 686-6964,NOT AVAILABLE,LOCATED ON THE NW CORNER OF EAST RAILROAD AVENUE AND NORTH GREEVER STREET.,NOT AVAILABLE,RURAL RETREAT VOLUNTEER EMERGENCY SERVICES INCORPORATED,NOT AVAILABLE,5b0ac86e-ae0f-400f-8c0c-d7d43deb4f85
-9026104.716,4431858.46,24421,24415,10510309,195 WEST SPRING STREET,NOT AVAILABLE,WYTHEVILLE,VA,24382,2649,WYTHE,51197,621910,"RESCUE SERVICES, MEDICAL",-81.0828782,36.9479808,ONENTITY,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NO,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 228-2671,NOT AVAILABLE,LOCATED ON THE SE SIDE OF WEST SPRING STREET BETWEEN SOUTH 4TH STREET AND CHURCH STREET.,NOT AVAILABLE,WYTHE COUNTY RESCUE SQUAD,NOT AVAILABLE,ef2ada12-ad89-40ab-936c-2fac918f59ed
-9214647.296,4418072.755,24422,24416,10573612,WALLINS RIDGE ROAD,NOT AVAILABLE,BIG STONE GAP,VA,24219,N/A,WISE,51195,922160,AMBULANCE AND FIRE SERVICE COMBINED,-82.776585,36.8489466,ONENTITY,NO,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 523-0550,NOT AVAILABLE,ON THE EAST SIDE OF WALLINS RIDGE ROAD LESS THEN 0.1 MILES SOUTH OF LAUREL ROAD,NOT AVAILABLE,BIG STONE GAP VOLUNTEER FIRE DEPARTMENT STATION 2,NOT AVAILABLE,2f5a4f50-e617-4a93-bc48-96440af7bb4c
-9124661.091,4399035.791,24424,24418,10509793,237 PARK STREET SE,NOT AVAILABLE,ABINGDON,VA,24210,3311,WASHINGTON,51191,621910,"AMBULANCE SERVICES, AIR OR GROUND",-81.9682252,36.7119771,ONENTITY,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NO,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 676-2401,NOT AVAILABLE,ON THE NW SIDE OF PARK STREET SE BETWEEN TANNER STREET NE AND COURT STREET SE.,NOT AVAILABLE,WASHINGTON COUNTY LIFE SAVING CREW INCORPORATED,NOT AVAILABLE,8d05aa63-2187-46bb-bb70-67a7239e58c5
-9058370.879,4479572.729,24425,24419,10509814,1289 BOISSEVAIN ROAD,NOT AVAILABLE,BOISSEVAIN,VA,24606,N/A,TAZEWELL,51185,621910,"RESCUE SERVICES, MEDICAL",-81.3727301,37.2897586,ONENTITY,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NO,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 945-9643,NOT AVAILABLE,"LOCATED ON THE NORTH SIDE OF BOISSEVAIN ROAD, ABOUT 0.3 MILES NE OF TANK HILL ROAD.",NOT AVAILABLE,ABBS VALLEY - BOISSEVAIN - POCAHONTAS RESCUE SQUAD INCORPORATED - RESCUE 945,NOT AVAILABLE,9b939b20-69a0-4759-8a8d-6db46ac2723e
-9092655.848,4411245.402,24426,24420,10509913,315 EAST LEE HIGHWAY,NOT AVAILABLE,CHILHOWIE,VA,24319,N/A,SMYTH,51173,621910,"RESCUE SERVICES, MEDICAL",-81.6807172,36.7998525,ONENTITY,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NO,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 646-8956,NOT AVAILABLE,ON THE NORTH CORNER OF THE HULL AVENUE AND EAST LEE HIGHWAY INTERSECTION.,NOT AVAILABLE,CHILHOWIE RESCUE SQUAD,NOT AVAILABLE,68a23a48-4430-419f-ace2-9aacc6b3f227
-9125455.141,4441298.699,24427,24421,10509719,343 HERITAGE DRIVE,NOT AVAILABLE,HONAKER,VA,24260,N/A,RUSSELL,51167,621910,"RESCUE SERVICES, MEDICAL",-81.9753583,37.0157237,ONENTITY,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NO,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 873-6450,NOT AVAILABLE,WEST SIDE OF HERITAGE DRIVE BETWEEN THE TWO INTERSECTIONS OF CIRCLE DRIVE.,NOT AVAILABLE,NEW GARDEN RESCUE SQUAD,NOT AVAILABLE,14927897-3d60-4bec-96cd-9461a67933a9
-9205274.239,4402267.367,24428,24422,10573949,110 EAGLE NEST ROAD,NOT AVAILABLE,DUFFIELD,VA,24244,N/A,SCOTT,51169,922160,FIRE AND RESCUE SERVICE,-82.6923854,36.7352453,ONENTITY,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,YES,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,(276) 940-2233,NOT AVAILABLE,SE SIDE OF EAGLE NEST ROAD 0.20 MILE NE OF STATE HIGHWAY 652.,NOT AVAILABLE,DUFFIELD VOLUNTEER FIRE AND RESCUE STATION 3,NOT AVAILABLE,0d3abbe9-7b2d-4689-8fc5-67765a15a7b3
