X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
-78.468518,38.66325,234,522835,PAGE MEMORIAL HOSPITAL,200 MEMORIAL DRIVE,LURAY,VA,22835,NOT AVAILABLE,(540) 743-4560,CRITICAL ACCESS,OPEN,25,PAGE,51139,USA,38.66325,-78.468518,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.valleyhealthlink.com/page,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,25,NOT AVAILABLE,Y
-81.91212146,36.72291339,695,148224211,JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA,24211,NOT AVAILABLE,(276) 258-1000,GENERAL ACUTE CARE,OPEN,116,WASHINGTON,51191,USA,36.72291339,-81.91212146,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/03/26 00:00:00+00,www.jmh.org,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,116,NOT AVAILABLE,Y
-76.30576791,36.84541393,702,16,NAVAL MEDICAL CENTER PORTSMOUTH,620 JOHN PAUL JONES CIRCLE,PORTSMOUTH,VA,23708,NOT AVAILABLE,NOT AVAILABLE,MILITARY,OPEN,202,PORTSMOUTH,51740,USA,36.84541393,-76.30576791,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2015/07/29 00:00:00+00,http://www.med.navy.mil/sites/nmcp2/pages/default.aspx,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,202,NOT AVAILABLE,Y
-78.98683733,38.09452441,910,122939,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,NOT AVAILABLE,(540) 332-4000,GENERAL ACUTE CARE,OPEN,255,AUGUSTA,51015,USA,38.09452441,-78.98683733,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.augustahealth.com,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,255,NOT AVAILABLE,Y
-77.46768488,37.49807429,1535,16123225,HUNTER HOLMES MCGUIRE VA MEDICAL CENTER,1201 BROAD ROCK BLVD,RICHMOND,VA,23225,NOT AVAILABLE,(804) 675-5000,GENERAL ACUTE CARE,OPEN,273,RICHMOND CITY,51760,USA,37.49807429,-77.46768488,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,2020/09/25 00:00:00+00,IMAGERY/OTHER,2015/05/29 00:00:00+00,http://www.richmond.va.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - FEDERAL,-999,273,NOT AVAILABLE,Y
-77.35939664,37.18733523,2118,19323805,POPLAR SPRINGS HOSPITAL,350 POPLAR DRIVE,PETERSBURG,VA,23805,NOT AVAILABLE,(804) 733-6874,PSYCHIATRIC,OPEN,208,PETERSBURG,51730,USA,37.18733523,-77.35939664,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,www.poplarsprings.com,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,208,NOT AVAILABLE,N
-79.86718047,36.69924359,2131,8224112,SOVAH HEALTH-MARTINSVILLE,320 HOSPITAL DRIVE,MARTINSVILLE,VA,24115,NOT AVAILABLE,(276) 666-7200,GENERAL ACUTE CARE,OPEN,223,MARTINSVILLE,51690,USA,36.69924359,-79.86718047,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,https://www.sovahhealth.com/patients-visitors/about-us/sovah-health-martinsville,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,223,NOT AVAILABLE,Y
-76.7408918,37.33632098,2132,14423188,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,100 SENTARA CIRCLE,WILLIAMSBURG,VA,23188,NOT AVAILABLE,(757) 984-6000,GENERAL ACUTE CARE,OPEN,145,YORK,51199,USA,37.33632098,-76.7408918,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.sentara.com/hospitalsfacilities/hospitals/williamsburg/pages/williamsburgregionalmedical.aspx,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,145,NOT AVAILABLE,Y
-77.0770461,38.73973007,2134,3222306,INOVA MOUNT VERNON HOSPITAL,2501 PARKERS LANE,ALEXANDRIA,VA,22306,NOT AVAILABLE,(703) 664-7000,GENERAL ACUTE CARE,OPEN,237,FAIRFAX,51059,USA,38.73973007,-77.0770461,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,http://www.inova.org/patient-and-visitor-information/facilities/inova-mount-vernon-hospital/index.jsp,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,237,NOT AVAILABLE,Y
-76.87887582,37.90124598,2135,14922560,RIVERSIDE TAPPAHANNOCK HOSPITAL,618 HOSPITAL ROAD,TAPPAHANNOCK,VA,22560,NOT AVAILABLE,(804) 443-3310,GENERAL ACUTE CARE,OPEN,67,ESSEX,51057,USA,37.90124598,-76.87887582,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.riverside-online.com/rth,NOT AVAILABLE,NOT AVAILABLE,51,NON-PROFIT,-999,67,NOT AVAILABLE,Y
-78.17509638,37.1923042,2136,20223922,PIEDMONT GERIATRIC HOSPITAL,5001 E. PATRICK HENRY HIGHWAY,BURKEVILLE,VA,23922,427,(434) 767-4401,PSYCHIATRIC,OPEN,123,NOTTOWAY,51135,USA,37.1923042,-78.17509638,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/09 00:00:00+00,http://www.pgh.dbhds.virginia.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - STATE,-999,123,NOT AVAILABLE,N
-79.03533052,38.13184581,2139,19922401,COMMONWEALTH CENTER FOR CHILDREN AND ADOLESCENTS,1355 RICHMOND RD,STAUNTON,VA,22401,9124,(540) 332-2100,PSYCHIATRIC,OPEN,48,STAUNTON,51790,USA,38.13184581,-79.03533052,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/09 00:00:00+00,http://www.ccca.dbhds.virginia.gov/,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - STATE,-999,48,NOT AVAILABLE,N
-77.388211,37.629048,2549,183223116,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,8260 ATLEE ROAD,MECHANICSVILLE,VA,23116,NOT AVAILABLE,(804) 764-6000,GENERAL ACUTE CARE,OPEN,225,HANOVER,51085,USA,37.629048,-77.388211,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2020/05/05 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,51,NOT AVAILABLE,-999,225,NOT AVAILABLE,Y
-77.52602103,37.63171005,2728,10323294,HENRICO DOCTORS' HOSPITAL - PARHAM,7700 EAST PARHAM ROAD,RICHMOND,VA,23294,NOT AVAILABLE,(804) 747-5600,GENERAL ACUTE CARE,OPEN,200,HENRICO,51087,USA,37.63171005,-77.52602103,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://parhamdoctors.com/,NOT AVAILABLE,PARHAM DOCTORS HOSPITAL,51,PROPRIETARY,-999,200,NOT AVAILABLE,N
-82.21648025,36.59717649,2734,19824201,RIDGEVIEW PAVILION (BRISTOL REGION),103 NORTH STREET,BRISTOL,VA,24201,NOT AVAILABLE,(423) 844-6000,PSYCHIATRIC,OPEN,28,BRISTOL,51520,USA,36.59717649,-82.21648025,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY/OTHER,2017/03/07 00:00:00+00,https://www.balladhealth.org/behavioral-health/ridgeview-pavilion,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,28,NOT AVAILABLE,N
-76.24603947,36.74550925,2753,11923320,CHESAPEAKE REGIONAL MEDICAL CENTER,736 BATTLEFIELD BOULEVARD NORTH,CHESAPEAKE,VA,23320,NOT AVAILABLE,(757) 312-8120,GENERAL ACUTE CARE,OPEN,310,CHESAPEAKE,51550,USA,36.74550925,-76.24603947,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.vhi.org,2020/11/26 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.chesapeakeregional.com,NOT AVAILABLE,NOT AVAILABLE,51,GOVERNMENT - DISTRICT/AUTHORITY,-999,310,NOT AVAILABLE,Y
-78.5206042,38.04526648,2755,2422903,UVA KLUGE CHILDRENS REHABILITATION CENTER,2270 IVY ROAD,CHARLOTTESVILLE,VA,22901,NOT AVAILABLE,(434) 924-5161,CHILDREN,CLOSED,19,ALBEMARLE,51003,USA,38.04526648,-78.5206042,622110,"CHILDREN'S HOSPITALS, GENERAL",http://www.vdh.virginia.gov/olc/acutecare/hospitals.htm,2016/08/16 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.healthsystem.virginia.edu/internet/pediatrics/kcrc/,NOT AVAILABLE,NOT AVAILABLE,51,PROPRIETARY,-999,19,NOT AVAILABLE,N
