X,Y,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIPCODE
-9121022.769,4416386.679,30893,Clinch Mountain Volunteer Fire Department,7350 Fire Department Road,Abingdon,VA,24210
-9131079.339,4411680.841,30949,Brumley Gap Volunteer Fire Department,19297 Brumley Gap Road,Abingdon,VA,24210
-9126051.745,4387080.525,32896,Green Springs Volunteer Fire Department & Rescue Squad,22632 Green Spring Church Road,Abingdon,VA,24211
-9124468.118,4399027.565,39640,Abingdon Fire Department,316 Park Street Southeast,Abingdon,VA,24210-3314
-8426197.378,4539375.776,29862,Virginia Department of Forestry Eastern Shore Office,22213 Edgar Thomas Road,Accomac,VA,23301
-8775736.617,4578430.587,30920,Rockfish Valley Volunteer Fire and Rescue Department,11100 Rockfish Valley Highway,Afton,VA,22920
-8670428.523,4418892.092,29774,Alberta Volunteer Fire Department Company 1,49 Main Street,Alberta,VA,23821
-8642788.401,4718077.106,29999,Loudoun County Fire and Rescue Aldie Volunteer Fire Department Station 7,39459 John Mosby Highway,Aldie,VA,20105
-8579846.481,4697360.817,29709,Alexandria Fire Department Station 203 Beverly Hills,2801 Cameron Mills Road,Alexandria,VA,22302
-8577972.973,4696569.188,29749,Alexandria Fire Department Station 202 Del Ray,213 East Windsor Avenue,Alexandria,VA,22301
-8581315.899,4694296.097,29751,Alexandria Fire Department Station 207 Cameron Valley,3301 Duke Street,Alexandria,VA,22314
-8577476.488,4694034.675,29778,Alexandria Fire Department Station 205 Rosemont,1210 Cameron Street,Alexandria,VA,22314
-8583709.296,4696870.274,29812,Alexandria Fire Department Station 206 Seminary Valley,4609 Seminary Road,Alexandria,VA,22304
-8585318.155,4695048.419,29814,Alexandria Fire Department Station 208 Landmark,175 North Paxton Street,Alexandria,VA,22304
-8576789.326,4695394.487,29943,Alexandria Fire Department Station 204 Headquarters,900 2nd Street,Alexandria,VA,22314
-8576432.85,4693584.968,29965,Alexandria Fire Department Station 201 Old Town,317 Prince Street,Alexandria,VA,22314
-8577214.651,4697508.775,30906,Alexandria Fire Department Station 209 Potomac Yards,2800 Main Line Boulevard,Alexandria,VA,22305
-8585692.945,4693297.648,30907,Alexandria Fire Department Station 210 Eisenhower Valley,5200 Eisenhower Avenue,Alexandria,VA,22304
-8580200.778,4684885.424,41059,Fairfax County Fire and Rescue Department Station 9 Mount Vernon,2601 Sherwood Hall Lane,Alexandria,VA,22306-3143
-8580432.879,4689222.155,41061,Fairfax County Fire and Rescue Department Station 11 Penn Daw,6624 Hulvey Terrace,Alexandria,VA,22306-6631
-8587906.759,4690313.089,41200,Fairfax County Fire and Rescue Department Station 5 Franconia,6300 Beulah Street,Alexandria,VA,22310-2626
-8589311.054,4684898.697,41300,Fairfax County Fire and Rescue Department Station 37 Kingstowne,7936 Telegraph Road,Alexandria,VA,22315-3703
-8584876.642,4681893.229,42203,Fairfax County Fire and Rescue Department Station 24 Woodlawn,8701 Lukens Lane,Alexandria,VA,22309-4103
-8824903.469,4455849.294,30924,Altavista Volunteer Fire Company,1280 Main Street,Altavista,VA,24517
-8785514.113,4385243.343,31711,Cluster Springs Volunteer Fire Department,1009 Black Walnut Church Road,Alton,VA,24520
-8681903.092,4486434.56,30861,Amelia County Volunteer Fire Department Company 1 Amelia Courthouse,8950 Otterburn Road,Amelia Court House,VA,23002
-8663100.902,4474126.671,31597,Amelia County Volunteer Fire Department Company 2 Mannboro,8641 Namozine Road,Amelia Court House,VA,23002
-8671044.141,4499592.233,31696,Amelia County Volunteer Fire Department Company 4 Mattoax,12201 Genito Road,Amelia Court House,VA,23002
-8818406.625,4533262.496,31577,Pedlar Volunteer Fire and Rescue,4893 Lexington Turnpike,Amherst,VA,24521
-8799871.232,4520912.234,31612,Amherst Volunteer Fire Department,135 2nd Street,Amherst,VA,24521
-8683045.657,4675581.393,31598,Amissville Volunteer Fire and Rescue Company,14711 Lee Highway,Amissville,VA,20106
-8592967.714,4697735.558,41058,Fairfax County Fire and Rescue Department Station 8 Annandale,7128 Columbia Pike,Annandale,VA,22003-3106
-9215206.834,4425882.092,31650,Appalachia Volunteer Fire Department,104 Powell Street,Appalachia,VA,24216
-8773648.764,4487944.075,30765,Appomattox Volunteer Fire Department,719 Confederate Boulevard,Appomattox,VA,24522
-8962452.673,4383378.145,30735,Ararat Volunteer Fire Department Station A Headquarters,5082 Ararat Highway,Ararat,VA,24053
-8970310.16,4382677.989,30785,Ararat Volunteer Fire Department Station B,150 Hollow Road,Ararat,VA,24053
-8580121.765,4706602.084,29608,Arlington County Fire Department Station 10,1559 Wilson Boulevard,Arlington,VA,22209
-8576493.735,4699462.559,29621,Metropolitan Washington Airport Authority Fire and Rescue Department Station 301,8 South Aoa Access Road,Arlington,VA,22202
-8582279.043,4705170.237,29655,Arlington County Fire Department Station 4,3121 North 10th Street,Arlington,VA,22201
-8589912.169,4705570.94,29691,Falls Church Volunteer Fire Department,6950 Little Falls Road,Arlington,VA,22213
-8581835.862,4700457.95,29839,Arlington County Fire Department Station 9,1900 South Walter Reed Drive,Arlington,VA,22204
-8585750.643,4706886.868,30013,Arlington County Fire Department Station 8,4845 Lee Highway,Arlington,VA,22207
-8582257.741,4698302.598,30029,Arlington County Fire Department Station 7,3116 South Abingdon Street,Arlington,VA,22206
-8584955.166,4704327.523,30066,Arlington County Fire Department Station 2,4805 Wilson Boulevard,Arlington,VA,22203
-8578108.378,4701293.145,30069,Arlington County Fire Department Station 5 Jefferson District - Aurora Highlands,1750 South Hayes Street,Arlington,VA,22202
-8582295.302,4702608.271,30081,Arlington County Fire Department Station 1,500 South Glebe Road,Arlington,VA,22204
-8583857.056,4707019.969,30159,Arlington County Fire Department Station 3 Cherrydale - Military Road,3900 Lee Highway,Arlington,VA,22207
-8625761.334,4728109.14,29750,Loudoun County Fire and Rescue Ashburn Volunteer Fire and Rescue Station 6,20688 Ashburn Road,Ashburn,VA,20147
-8626857.123,4722901.208,31548,Loudoun County Fire and Rescue Moorefield Fire and Rescue Company 23,43495 Old Ryan Road,Ashburn,VA,20147
-8620829.922,4536366.747,29564,Hanover County Fire - EMS Company 10 - Chickahominy Volunteer Fire Station,10414 South Ledbetter Road,Ashland,VA,23005
-8624049.993,4547100.96,29568,Hanover County Fire - EMS Company 1 - Ashland Volunteer Fire Station,501 Archie Cannon Road,Ashland,VA,23005
-8625397.906,4545263.752,30071,Hanover County Fire - EMS Company 16 - Ashland Volunteer Rescue Squad,203 Duncan Street,Ashland,VA,23005
-9064210.768,4420500.661,32897,Atkins Volunteer Fire Department,5758 Lee Highway,Atkins,VA,24311
-8405379.063,4565443.798,29581,Atlantic Volunteer Fire Department,10071 Atlantic Road,Atlantic,VA,23303
-8873545.681,4391847.42,30817,Axton Volunteer Fire Department,55 Mountain Valley Road,Axton,VA,24054
-8600384.746,4551447.636,29582,Mangohick Volunteer Fire Department,3493 King William Road,Aylett,VA,23009
-8583414.138,4548374.076,30051,King William Volunteer Fire and Rescue,7936 Richmond - Tappahannock Highway,Aylett,VA,23009
-9085758.605,4464472.677,31527,Dicks Creek - Amonate - Dry Fork Volunteer Fire Department,711 Johnson Branch Road,Bandy,VA,24602
-9094515.85,4458112.639,31637,Bandy Volunteer Fire Department,3286 Brandy Road,Bandy,VA,24602
-8714673.681,4604246.651,31712,Barboursville Volunteer Fire Company and Rescue Squad,5251 Spotswood Trail,Barboursville,VA,22923
-8993815.896,4424963.779,32905,Barren Springs Volunteer Fire Department,1449 Wysor Highway,Barren Springs,VA,24313
-8904866.638,4405877.471,30933,Bassett Volunteer Fire Department,3735 Fairystone Park Highway,Bassett,VA,24055
-9050509.66,4463534.536,31748,Clearfork Volunteer Fire Department,7146 Clearfork Road,Bastian,VA,24314
-9043409.277,4460434.97,31750,Grapefield Volunteer Fire Department,106 Pear Lane,Bastian,VA,24314
-8771967.864,4693599.864,30855,Shenandoah County Fire and Rescue Station 18 - Orkney Springs Fire and Rescue,922 Orkney Grade,Basye,VA,22810
-8652765.544,4655764.679,29787,Lois Volunteer Fire Department Company 13,12067 Marsh Road,Bealeton,VA,22712
-8644315.876,4570929.608,29612,Hanover County Fire - EMS Company 2 - Beaverdam Volunteer Fire Station,16150 Trainham Road,Beaverdam,VA,23015
-8648764.66,4560636.294,30127,Hanover County Fire - EMS Company 15 - West Hanover Volunteer Rescue Squad,17005 Beaverdam Road,Beaverdam,VA,23015
-8852596.468,4486119.641,30856,Bedford Volunteer Fire Department,315 Bedford Avenue,Bedford,VA,24523
-8856059.749,4470725.482,31546,Moneta Volunteer Fire Department Station 2,1128 Shingle Block Road,Bedford,VA,24523
-8918384.503,4462326.851,31736,Roanoke County Fire and Rescue Station 8 - Bent Mountain Fire Department,9606 Bent Mountain Road,Bent Mountain,VA,24059
-8716941.996,4698322.287,31603,South Warren Volunteer Fire Department,3330 Stonewall Jackson Highway,Bentonville,VA,22610
-8788872.509,4690296.732,30878,Bergton Volunteer Fire Company,18140 Crab Run Road,Bergton,VA,22811
-8681071.009,4743361.197,29605,John H Enders Volunteer Fire Company and Rescue Squad,9 South Buckmarsh Street,Berryville,VA,22611
-8834386.999,4513885.74,30750,Big Island Volunteer Fire Department,10770 Lee Jackson Highway,Big Island,VA,24526
-9149254.304,4488963.326,31625,Big Rock Volunteer Fire Department,1275 Old Rocklick Road,Big Rock,VA,24603
-9209298.418,4419898.944,30915,Valley Volunteer Fire Department,1946 Tate Springs Road,Big Stone Gap,VA,24219
-9219751.647,4406848.782,31599,Jasper Volunteer Fire Department,25700 US Highway 23 North,Duffield,VA,24244
-9214647.732,4418073.75,31602,Big Stone Gap Volunteer Fire Department Station 2,Dogwood Drive and Laurel Ridge Road,Big Stone Gap,VA,24219
-9214583.05,4420718.442,31746,Big Stone Gap Volunteer Fire Department,316 Shawnee Avenue East,Big Stone Gap,VA,24219
-9079208.777,4467961.947,31730,Bishop Volunteer Fire Department,214 Radio Street,Bishop,VA,24604
-8950604.542,4468248.68,62,Blacksburg Volunteer Fire Department,407 Hubbard Street,Blacksburg,VA,24060
-8956183.907,4469609.056,30921,Blacksburg Volunteer Fire Department Station 2,2700 Prices Fork Road,Blacksburg,VA,24060
-8951590.892,4471413.555,31665,Blacksburg Volunteer Fire Department Station 1,200 Progress Street Northeast,Blacksburg,VA,24060
-8969786.646,4469151.752,31676,Longshop - McCoy Volunteer Fire Department,5770 McCoy Road,Blacksburg,VA,24060
-8683270.127,4449848.057,31552,Blackstone Volunteer Fire Department,318 Church Street,Blackstone,VA,23824
-8677407.273,4446038.643,31694,Fort Pickett Fire Department,1485 West Parade Avenue,Blackstone,VA,23824
-9243965.836,4387348.883,30732,Blackwater Volunteer Fire Company,1001 Doctor Andrew Jackson Osborne Highway,Blackwater,VA,24221
-8835508.368,4398099.409,31777,Blairs Volunteer Fire Department,7100 US Highway 29 North,Blairs,VA,24527
-9011994.827,4465193.79,30818,Hollybrook - Mechanicsburg Volunteer Fire Department,3882 Wilderness Road,Bland,VA,24315
-9029649.504,4452941.795,30894,Bland County Volunteer Fire Department,94 Jackson Street,Bland,VA,24315
-8418366.467,4555345.626,29780,Bloxom Volunteer Fire Company,15312 Bayside Drive,Bloxom,VA,23308
-8884520.939,4491499.382,30947,Blue Ridge Volunteer Fire and Rescue Company 1,1354 Blue Ridge Springs Road,Blue Ridge,VA,24064
-9047093.349,4474630.297,30913,Bluefield Virginia Fire Department,100 North College Avenue,Bluefield,VA,24605
-9063585.3,4474846.591,31700,Abbs Valley - Boissevain Volunteer Fire Department,160 Kayla Avenue,Bluefield,VA,24605
-8670604.268,4730564.507,29624,FEMA Special Facility Fire Department - Mount Weather Fire Department,19844 Blueridge Mountain Road,Bluemont,VA,20135
-8669084.19,4739364.795,29784,Blue Ridge Volunteer Fire and Rescue Company 8,131 Retreat Road,Bluemont,VA,20135
-8900703.338,4455801.479,30786,Boones Mill Volunteer Fire Department Company 7,25355 Virgil Hamlin Goode Highway,Boones Mill,VA,24065
-8609961.571,4586701.145,29949,Caroline County Fire and Rescue / Bowling Green Volunteer Fire Department Company 1,130 Courthouse Lane,Bowling Green,VA,22427
-8689654.219,4734941.53,29919,Boyce Volunteer Fire Company,7 Greenway Avenue,Boyce,VA,22620
-8709594.439,4378048.006,31567,Palmer Springs Volunteer Fire Department Company 6,1697 Palmer Springs Road,Boydton,VA,23917
-8725476.502,4393265.529,31732,Boydton Volunteer Fire Department Company 1,928 Madison Street,Boydton,VA,23917
-8594066.567,4381308.894,29542,Boykins Volunteer Fire Department and Rescue Squad,18127 North Railroad Avenue,Boykins,VA,23827
-8692966.434,4378805.306,31530,Lake Gaston Volunteer Fire Department Company 8,7609 State Highway 903,Bracey,VA,23919
-8599154.893,4379251.772,44347,Branchville Volunteer Fire Department,15310 Broad Street,Branchville,VA,23828
-8671435.38,4650585.066,30858,Brandy Station Volunteer Fire Department,19601 Church Road,Brandy Station,VA,22714
