OBJECTID,NGAID,METLNKID,FEATTYPE,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,SVC_AREA,POP06,SQMI,STATUS,ECODE
15,10277435, ,POINT,AMERICAN RED CROSS RAPPAHANNOCK AREA CHAPTER,540,735-0500,4836 SOUTHPOINT PARKWAY, ,FREDERICKSBURG,VA,22407,2658,SPOTSYLVANIA,51177,"LOCATED ON THE WEST SIDE OF SOUTHPOINT PARKWAY, APPROX. 0.25 MI NORTHEAST OF JEFFERSON DAVIS HIGHWAY.", , , ,2007/09/28 00:00:00+00,PHONE,2007/09/28 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,90804444,-77.5001451,38.232403,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,343284,1769.51,CHAPTER,46168
16,10277430, ,POINT,AMERICAN RED CROSS OF THE BLUE RIDGE,540,886-9151,331 NORTH CENTRAL AVENUE, ,STAUNTON,VA,24401,3312,STAUNTON CITY,51790,"LOCATED ON THE EAST SIDE OF NORTH CENTRAL AVENUE, BETWEEN CHURCHVILLE AVENUE AND PUMP STREET.", , , ,2007/09/28 00:00:00+00,PHONE,2007/09/28 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,101720793,-79.0734352,38.1549243,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,150955,1616.22,CHAPTER,46028
17,10277450, ,POINT,AMERICAN RED CROSS GREATER NEW RIVER VALLEY CHAPTER,540,639-2140,616 WEST MAIN STREET,A,RADFORD,VA,24141,1780,RADFORD CITY,51750,LOC ON THE SOUTHEAST SIDE OF WEST MAIN STREET .04 MI SOUTHWEST OF WADSWORTH STREET., , , ,2007/09/28 00:00:00+00,PHONE,2007/09/28 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,108596512,-80.5788549,37.1313978,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,74251,1058.88,CHAPTER,46364
33,10277428, ,POINT,AMERICAN RED CROSS JACKSON RIVER CHAPTER,540,962-6456,701 MIDLAND TRAIL, ,COVINGTON,VA,24426,1230,ALLEGHANY,51005,NORTH SIDE OF MIDLAND TRL ACROSS FROM SWEETBRIAR AVE, , , ,2007/07/26 00:00:00+00,PHONE,2007/07/26 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,123612217,-80.0012052,37.7972965,NAVTEQ,2006Q4,ONENTITY,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,30446,1404.86,CHAPTER,46010
36,10277451, ,POINT,AMERICAN RED CROSS GREATER RICHMOND REGIONAL CHAPTER,804,780-2250,420 EAST CARY STREET, ,RICHMOND,VA,23219,3816,RICHMOND CITY,51760,LOC ON THE NORTHEAST CORNER OF EAST CARY STREET AND SOUTH 5TH STREET, , , ,2007/09/28 00:00:00+00,PHONE,2007/09/28 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,18925944,-77.4407957,37.5398446,NAVTEQ,2006Q4,ONENTITY,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,961469,2348.74,CHAPTER,46372
153,10277439, ,POINT,AMERICAN RED CROSS HAMPTON ROADS CHAPTER,757,838-7320,4915 WEST MERCURY BOULEVARD, ,NEWPORT NEWS,VA,23605,1601,HAMPTON CITY,51650,SOUTHEAST CORNER OF WEST MERCURY BOULEVARD AND ORCUTT AVENUE., , , ,2007/07/12 00:00:00+00,PHONE,2007/07/12 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,25243552,-76.4347653,37.0234642,NAVTEQ,2006Q4,ONENTITY,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,364102,443.19,CHAPTER,46198
154,10277433, ,POINT,AMERICAN RED CROSS CENTRAL VIRGINIA CHAPTER,434,979-7143,1105 ROSE HILL DRIVE, ,CHARLOTTESVILLE,VA,22903,5130,CHARLOTTESVILLE CITY,51540,NORTHWEST CORNER OF ROSE HILL DRIVE AND MADISON AVENUE., , , ,2007/07/12 00:00:00+00,PHONE,2007/07/12 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,19423737,-78.4844883,38.041718,NAVTEQ,2006Q4,ONENTITY,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,224736,2168.93,CHAPTER,46081
180,10277446, ,POINT,AMERICAN RED CROSS EASTERN SHORE OF VIRGINIA CHAPTER,757,442-4750,36306 LANKFORD HIGHWAY,SUITE 14,BELLE HAVEN,VA,23306,1106,ACCOMACK,51001,LOC ON THE NORTHWEST SIDE OF LNKFORD HIGHWAY .02 MI SOUTHWEST OF MERRY CAT LANE, , , ,2007/09/28 00:00:00+00,PHONE,2007/10/03 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,90936183,-75.8134702,37.5437652,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,53930,585.88,CHAPTER,46300
182,10277449, ,POINT,AMERICAN RED CROSS PRINCE WILLIAM COUNTY CHAPTER,703,368-4511,9317 WEST STREET, ,MANASSAS,VA,20110,5128,MANASSAS CITY,51683,LOC ON THE EAST SIDE OF WEST STREET .06 MI NORTH OF LEE AVENUE., , , ,2007/09/28 00:00:00+00,PHONE,2007/09/28 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,18470441,-77.4733901,38.7531691,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,405725,361.02,CHAPTER,46348
195,10277437, ,POINT,AMERICAN RED CROSS WOOD'S RIVER CHAPTER,276,236-2891,244 BEE LINE DRIVE, ,GALAX,VA,24333,6140,CARROLL,51035,"LOCATED ON THE NORTHEAST SIDE OF BEE LINE DRIVE, BETWEEN KENT LANE AND CARROLLTON PIKE.", , , ,2007/09/28 00:00:00+00,PHONE,2007/10/01 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; AMERICAN RED CROSS FACILITIES",624230,EMERGENCY RELIEF SERVICES,101907262,-80.8743337,36.6969489,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,SERVICE AREA 7 - MID-ATLANTIC,82683,1396.38,CHAPTER,46182
