OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,UCAOA_ID
2987,10425843,MEDEXPRESS - WILLIAMSBURG,757-564-3627,120 MONTICELLO AVENUE, ,WILLIAMSBURG,VA,23185,2840,WILLIAMSBURG CITY,51830,LOC ON THE NW SIDE OF MONTICELLO AVE BETWEEN GARRISON DR AND RICHMOND RD, , , ,2008/02/05 00:00:00+00,PHONE,2008/02/05 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",25194063,-76.7206788,37.2822569,NAVTEQ,2006Q4,ONENTITY,YES,TGS, 
2996,10422271,FAIR OAKS WALK IN CARE - BURKE,703-239-0300,6045 BURKE CENTRE PARKWAY, ,BURKE,VA,22015,3751,FAIRFAX,51059,LOC. .24 MILES NW OF INT OF BURKE CENTRE PKY AND SCHOOLHOUSE WOODS RD ON THE NE SIDE OF BURKE CENTRE PKY, , , ,2008/01/25 00:00:00+00,PHONE,2008/02/06 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",123660211,-77.2985843,38.7869828,NAVTEQ,2006Q4,ONENTITY,YES,TGS,UC_3770
2998,10425856,PRIMEMED URGENT CARE,703-221-2109,3928 LANSING COURT, ,DUMFRIES,VA,22026,2460,PRINCE WILLIAM,51153,LOC ON THE SE CORNER OF LANSING CT AND S MAIN ST, , , ,2008/02/06 00:00:00+00,PHONE,2008/02/06 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",24788367,-77.3290637,38.5640153,NAVTEQ,2006Q4,ONENTITY,YES,TGS, 
2999,10425844,MEDEXPRESS - YORKTOWN,757-890-6339,4740 GEORGE WASHINGTON MEMORIAL HIGHWAY,GRAFTON SQUARE SUITE A,YORKTOWN,VA,23692,2512,YORK,51199,LOC ON THE NE SIDE OF GEORGE WASHINGTON MEMORIAL HWY BETWEEN CHARLENE CT AND YORK CROSSING RD, , , ,2008/02/05 00:00:00+00,PHONE,2008/02/05 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",25243338,-76.4594981,37.1516663,NAVTEQ,2006Q4,ONENTITY,YES,TGS, 
3001,10425878,FAIR OAKS MEDICAL CENTER WALK IN CARE - FAIRFAX STATION,703-495-9148,9015 SILVERBROOK ROAD,SUITE 106,FAIRFAX STATION,VA,22039,2685,FAIRFAX,51059,LOC ON THE S SIDE OF SILVER BROOK RD BETWEEN BAYBERRY RIDGE RD AND OAK CHASE CIR, , , ,2008/02/06 00:00:00+00,PHONE,2008/02/06 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18376234,-77.2574691,38.7270929,NAVTEQ,2006Q4,ONENTITY,YES,TGS, 
3005,11522802,FREDERICKSBURG WALK IN MEDICAL CENTER,540-785-8018,4117 PLANK ROAD, ,FREDERICKSBURG,VA,22407,4888,SPOTSYLVANIA,51177,LOCATED ON THE NORTH SIDE OF PLANK RD BETWEEN KENNEDY LN AND SALEM CHURCH RD, , , ,2009/03/30 00:00:00+00,PHONE,2009/03/30 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",113331890,-77.5335785,38.2910913,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3020,10422266,LEWIS-GALE VALLEY VIEW CLINIC,540-265-1670,4910 VALLEY VIEW BOULEVARD NORTHWEST, ,ROANOKE,VA,24012,2040,ROANOKE CITY,51770,LOC ON THE SW CORNER OF RING RD NW AND VALLEY VIEW RD NW, , , ,2008/01/25 00:00:00+00,PHONE,2008/01/25 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",128060211,-79.9680582,37.3047758,NAVTEQ,2006Q4,ONENTITY,YES,TGS,UC_3757
3034,11521796,BEDFORD FAMILY URGENT CARE,540-587-8612,1368 AMERICAN WAY, ,BEDFORD,VA,24523,2940,BEDFORD CITY,51515,LOCATED ON THE EAST SIDE OF AMERICAN WAY LESS THAN 0.10 MILE SOUTH OF FREEDOM LN, , , ,2009/03/30 00:00:00+00,PHONE,2009/03/30 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",128076216,-79.5021778,37.326305,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3054,11524590,EMERGICARE - HARRISONBURG,540-432-9996,755 CANTRELL AVENUE,SUITE A,HARRISONBURG,VA,22801,4366,HARRISONBURG CITY,51660,LOCATED ON THE SOUTH SIDE OF CANTRELL AVE BETWEEN MOUNTAIN VIEW DR AND RESERVOIR ST, , , ,2009/03/31 00:00:00+00,PHONE,2009/03/31 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",101849350,-78.8580237,38.4400755,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3056,11241572,HALIFAX MED,434-572-9355,1627 SEYMOUR DRIVE, ,SOUTH BOSTON,VA,24592,3428,SOUTH BOSTON CITY,51780,ON THE SOUTH SIDE OF SEYMOUR DR BETWEEN MARSHALL AVE AND SOIL ST, , , ,2009/02/06 00:00:00+00,PHONE,2009/02/06 00:00:00+00,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",101695292,-78.8928263,36.6965294,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
