Variable Name,Variable Definition
FPN,Federal Provider Number 2022JUN (Source https://data.cms.gov/provider-data/dataset/4pq5-n9py)
lat,latitude
long,longitude
provider_name,names of the skilled nursing facility 2022JUN (Source https://data.cms.gov/provider-data/dataset/4pq5-n9py)
score_k,sum of the scope/severity ratings for fire life safety standard deficiencies over the four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/ifjz-ge4w)
dtc_k,mean length of time it took to resolve the fire life safety standard deficiencies over the four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/ifjz-ge4w)
num_def_k,number of fire life safety codes standard deficiencies over the four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/ifjz-ge4w)
num_insp_k,number of fire life safety inspections over the four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/svdt-c123)
num_compl_k,number of fire life safety complaints by individuals over the four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/ifjz-ge4w)
score_e,sum of the  scope/severity ratings for emergency preparedness standard deficiencies over the four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/ifjz-ge4w)
dtc_e,mean length of time it took to resolve the emergency preparedness standard deficiencies over the four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/ifjz-ge4w)
num_def_e,number of emergency preparedness standard deficiencies over a four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/ifjz-ge4w)
num_insp_e,number of emergency preparedness inspections over a four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/svdt-c123)
num_compl_e,number of emergency preparedness complaints by individuals over the four year period (2018-2022) (Source https://data.cms.gov/provider-data/dataset/ifjz-ge4w)
k_def_index,(num_insp_k / num_insp_k) + dtc_k + score_k
e_def_index,(num_insp_e / num_insp_e) + dtc_e + score_e
ke_def_index,(k_def_index + e_def_index)
max_flood_risks,(max_rfld_risks + max_cfld_risks)
max_rfld_risks,the maximum riverine flood risk a nursing staff employee encounters on their way to the SNF Version 2021NOV (Source https://hazards.fema.gov/nri/data-resources)
max_cfld_risks,the maximum coastal flood risk a nursing staff employee encounters on their way to the SNF Version 2021NOV (Source https://hazards.fema.gov/nri/data-resources) 
cms_worker,average daily number of nursing staff 
cms_resident,average number of residents based on Minimum Data Set daily census 2022JUN (Source https://data.cms.gov/provider-data/dataset/4pq5-n9py)
prob_lcl_95,derived variable see R code file VA_Probability_of_Getting_to_SNF.r  (https://github.com/uva-bi-sdad/census_cde_demo_2/raw/main/source_code/analyses/VA_Probability_of_Getting_to_SNF.R)
prob_mean,derived variable see R code file VA_Probability_of_Getting_to_SNF.r  (https://github.com/uva-bi-sdad/census_cde_demo_2/raw/main/source_code/analyses/VA_Probability_of_Getting_to_SNF.R)
prob_ucl_95,derived variable see R code file VA_Probability_of_Getting_to_SNF.r  (https://github.com/uva-bi-sdad/census_cde_demo_2/raw/main/source_code/analyses/VA_Probability_of_Getting_to_SNF.R)
number_lcl_95,derived variable see R code file VA_Probability_of_Getting_to_SNF.r  (https://github.com/uva-bi-sdad/census_cde_demo_2/raw/main/source_code/analyses/VA_Probability_of_Getting_to_SNF.R)
number_mean,derived variable see R code file VA_Probability_of_Getting_to_SNF.r  (https://github.com/uva-bi-sdad/census_cde_demo_2/raw/main/source_code/analyses/VA_Probability_of_Getting_to_SNF.R)
number_ucl_95,derived variable see R code file VA_Probability_of_Getting_to_SNF.r  (https://github.com/uva-bi-sdad/census_cde_demo_2/raw/main/source_code/analyses/VA_Probability_of_Getting_to_SNF.R)
worker_percent_loss,derived variable see R code file VA_Probability_of_Getting_to_SNF.r  (https://github.com/uva-bi-sdad/census_cde_demo_2/raw/main/source_code/analyses/VA_Probability_of_Getting_to_SNF.R)
