federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,role_played_by_owner_or_manager_in_facility,owner_type,owner_name,ownership_percentage,association_date,location,processing_date
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,AMERICAN HEALTHCARE LLC,100%,since 06/01/2019,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",8/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,OPERATIONAL/MANAGERIAL CONTROL,Individual,"HAINES, JAMES L",NOT APPLICABLE,since 06/03/2019,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",8/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,DIRECTOR,Individual,"HOPKINS, WILLIAM",NOT APPLICABLE,since 06/01/2019,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",8/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,OFFICER,Individual,"DALTON, ROBERT",NOT APPLICABLE,since 06/01/2019,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",8/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,OFFICER,Individual,"EAST, THOMAS",NOT APPLICABLE,since 06/01/2019,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",8/1/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,OFFICER,Individual,"HAINES, JAMES L",NOT APPLICABLE,since 06/01/2019,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"HCR IV HEALTHCARE, LLC",100%,since 12/21/2007,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR HEALTHCARE, LLC",NO PERCENTAGE PROVIDED,since 12/21/2007,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR II HEALTHCARE, LLC",NO PERCENTAGE PROVIDED,since 12/21/2007,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
495011,PROMEDICA SKILLED NURSING AND REHAB (ALEXANDRIA),1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"HCR III HEALTHCARE, LLC",NO PERCENTAGE PROVIDED,since 12/21/2007,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",8/1/22
